,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[5, 13, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 14]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 13]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 15]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 10]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 11]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 12]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[7],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011653680920712044,0.0,0.0009523809523809524,0.0,0.0,0.0,0.0
"[7, 9]",0.0,-0.0019047619047619048,-0.0036333333333333326,-0.00015873015873015816,-0.0007936507936507932,-0.0017460317460317456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022111111111111107,0.0,0.0
"[7, 9, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 6]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015873015873015816,0.002819300952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 6, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 5]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 6]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0191319360179585,0.0,0.0
"[2, 13]",0.0,0.0,-0.003015873015873015,0.00015247555714285765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003174603174603174,-0.0003174603174603174,-0.0003174603174603174,0.0,-0.0003174603174603174
"[2, 13, 11]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 4]",0.0,0.0,0.0,0.0,-0.0006349206349206348,0.0,0.0,0.00122627469162032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 4, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[10],0.0,-0.0009523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007936507936507932,0.009343686161904759,0.0,0.0,0.0
"[10, 11]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015873015873015927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[10, 11, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 13, 4]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[5, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046528366030158455,0.0,0.0,0.0,0.0,0.0,0.0
