,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[13],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049257766314848385,0.0,0.0
"[13, 13]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149981409392777,0.0,0.0
"[13, 13, 13]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018811163307325717,0.0,0.0
"[7, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004043572619047618,0.0,0.0,0.0,0.0,0.0,0.0
"[7, 9, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016650007142857135,0.0,0.0,0.0,0.0,0.0,0.0
[4],0.0,0.0,0.0,0.0,-0.01773172115729172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038076190476190475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[4, 8, 8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[12],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07076803302832589,0.0,0.0,0.0
"[12, 12]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021605669498899485,0.0,0.0,0.0
"[12, 12, 12]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008678472956723296,0.0,0.0,0.0
[3],0.0,0.0,0.0,0.009618185214427174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 3]",0.0,0.0,0.0,-0.008578187230534311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 3, 11]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033316666666666685,0.0,0.0,0.0,0.0
"[6, 12]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012362393330238095,0.0,0.0,0.0
"[6, 12, 12]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009516669047619023,0.0,0.0,0.0
[2],0.0,0.0,0.007557502307169453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 2]",0.0,0.0,-0.011009394220016129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 2, 6]",0.0,0.0,0.0,0.0,0.0,0.0,-0.002567978405201113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 3, 12]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004283571428571428,0.0,0.0,0.0
"[3, 3, 15]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010880764190968532
"[2, 2, 15]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033261976154769033
"[7, 11]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001902619761904761,0.0,0.0,0.0,0.0
"[7, 11, 11]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011897621428571439,0.0,0.0,0.0,0.0
"[2, 2, 3]",0.0,0.0,0.0,-0.000938142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
